time_s,resp
63.0000,16.6913
63.2500,9.4806
63.5000,3.7427
63.7500,-0.4311
64.0000,0.7745
64.2500,8.8397
64.5000,14.3335
64.7500,17.0499
65.0000,18.6217
65.2500,18.9040
65.5000,17.8053
65.7500,15.3102
66.0000,13.5171
66.2500,10.1979
66.5000,5.8486
66.7500,2.1937
67.0000,-0.8050
67.2500,3.8418
67.5000,11.6247
67.7500,16.1724
68.0000,18.1334
68.2500,18.2021
68.5000,16.8286
68.7500,18.8506
69.0000,17.8434
69.2500,11.9986
69.5000,6.3217
69.7500,2.0182
70.0000,-0.4616
70.2500,4.0326
70.5000,11.4416
70.7500,16.0808
71.0000,18.2555
71.2500,19.5984
71.5000,19.7434
71.7500,18.8811
72.0000,16.1190
72.2500,10.9838
72.5000,4.8185
72.7500,-0.2022
73.0000,-3.7579
73.2500,-6.6116
73.5000,-2.8804
73.7500,6.3598
74.0000,12.3115
74.2500,15.2186
74.5000,17.0270
74.7500,17.2940
75.0000,15.9664
75.2500,6.2530
75.5000,-3.1017
75.7500,-6.2607
76.0000,-5.7952
76.2500,2.7049
76.5000,9.4654
76.7500,13.7612
77.0000,16.7294
77.2500,18.5302
77.5000,17.4238
77.7500,17.8587
78.0000,17.3017
78.2500,10.0529
78.5000,5.0627
78.7500,1.2476
79.0000,-1.0339
79.2500,-2.1708
79.5000,3.8190
79.7500,10.8541
80.0000,15.5467
80.2500,18.6675
80.5000,20.4530
80.7500,21.1244
81.0000,21.3076
81.2500,19.6976
81.5000,15.5849
81.7500,10.0911
82.0000,5.6426
82.2500,1.1484
82.5000,-2.2624
82.7500,-4.2081
83.0000,1.5222
83.2500,9.7019
83.5000,14.9592
83.7500,17.9045
84.0000,19.4687
84.2500,19.8502
84.5000,17.8968
84.7500,17.0880
85.0000,12.9448
85.2500,8.2216
85.5000,3.1170
85.7500,-1.1407
86.0000,-1.6214
86.2500,6.5888
86.5000,13.1432
86.7500,16.9736
87.0000,18.6141
87.2500,19.9189
87.5000,20.2699
87.7500,19.0109
88.0000,16.1419
88.2500,11.3958
88.5000,7.1076
88.7500,2.3463
89.0000,-1.1941
89.2500,-2.8728
89.5000,4.3836
89.7500,11.7621
90.0000,15.9587
90.2500,17.9426
90.5000,18.6446
90.7500,18.0113
91.0000,19.6594
91.2500,19.9646
91.5000,18.3623
91.7500,14.8829
92.0000,10.0376
92.2500,5.0245
92.5000,0.7058
92.7500,-3.1933
93.0000,-5.7265
93.2500,-3.1170
93.5000,6.3598
93.7500,12.6701
94.0000,16.3250
94.2500,17.5153
94.5000,18.2936
94.7500,19.2169
95.0000,19.2779
95.2500,16.8133
95.5000,14.9897
95.7500,14.0512
96.0000,9.8393
96.2500,5.9097
96.5000,1.8122
96.7500,-2.0335
97.0000,-4.1776
97.2500,2.8118
97.5000,10.7396
97.7500,15.3407
98.0000,17.7671
98.2500,17.8282
98.5000,15.6230
98.7500,17.5077
99.0000,18.5225
99.2500,17.7671
99.5000,14.6997
99.7500,11.4874
100.0000,7.8783
100.2500,4.3149
100.5000,0.7821
100.7500,-2.3539
101.0000,-3.1017
101.2500,5.0856
101.5000,12.6167
101.7500,16.4166
102.0000,18.0342
102.2500,19.0795
102.5000,20.0486
102.7500,19.9646
103.0000,17.1643
103.2500,16.4013
103.5000,16.0274
103.7500,9.9156
104.0000,4.1242
104.2500,0.5227
104.5000,-2.1098
104.7500,-3.5824
105.0000,-2.3845
105.2500,6.5811
105.5000,13.9367
105.7500,17.8434
106.0000,19.7434
106.2500,20.5369
106.5000,17.9045
106.7500,12.6701
107.0000,9.4806
107.2500,7.5196
107.5000,5.7571
107.7500,3.5061
108.0000,2.1021
108.2500,9.1907
108.5000,15.7680
108.7500,19.4382
109.0000,21.2618
109.2500,22.1164
109.5000,20.1478
109.7500,18.8811
110.0000,20.1859
110.2500,13.9215
110.5000,6.9245
110.7500,1.0415
111.0000,-3.2238
111.2500,-5.3603
111.5000,-6.2607
111.7500,2.0030
112.0000,10.0376
112.2500,14.8447
112.5000,17.6679
112.7500,19.1024
113.0000,20.1249
113.2500,19.9646
113.5000,15.6993
113.7500,8.3590
114.0000,1.6138
114.2500,-3.6206
114.5000,-7.1915
114.7500,-9.2899
115.0000,-6.3293
115.2500,3.3077
115.5000,10.8388
115.7500,15.0202
116.0000,17.6527
116.2500,18.7285
116.5000,18.1181
116.7500,17.3322
117.0000,19.4153
117.2500,19.8502
117.5000,16.5463
117.7500,8.3513
118.0000,2.1174
118.2500,-0.7134
118.5000,-1.4230
118.7500,-2.3158
119.0000,-2.6592
119.2500,3.0178
119.5000,11.4187
119.7500,16.4471
120.0000,18.8201
120.2500,19.7281
120.5000,20.8269
120.7500,20.6972
121.0000,17.0499
121.2500,9.5951
121.5000,3.8037
121.7500,-0.6142
122.0000,-5.1237
122.2500,-8.0385
122.5000,-4.2920
122.7500,5.6350
123.0000,12.3267
123.2500,16.3326
123.5000,18.8583
123.7500,20.1249
124.0000,18.4386
124.2500,19.1940
124.5000,18.8048
124.7500,12.1360
125.0000,6.1920
125.2500,1.8885
125.5000,-1.3544
125.7500,-4.6125
126.0000,-6.1767
126.2500,2.8652
126.5000,11.1288
126.7500,15.7527
127.0000,18.3852
127.2500,19.8349
127.5000,21.0405
127.7500,20.9871
128.0000,17.5535
128.2500,13.2958
128.5000,6.6345
128.7500,0.9271
129.0000,-4.0250
129.2500,-8.8321
129.5000,-11.4645
129.7500,-3.9563
130.0000,5.2687
130.2500,11.4035
130.5000,15.4475
130.7500,17.7671
131.0000,15.1347
131.2500,9.0762
131.5000,3.1780
131.7500,-1.3773
132.0000,-5.5968
132.2500,-7.6646
132.5000,0.4235
132.7500,5.3908
133.0000,5.6121
133.2500,5.9097
133.5000,8.5040
133.7500,16.0961
134.0000,20.7506
134.2500,23.1083
134.5000,24.0392
134.7500,22.6505
135.0000,12.8074
135.2500,6.8177
135.5000,3.9945
135.7500,1.6367
136.0000,8.1759
136.2500,14.5624
136.5000,18.7056
136.7500,21.2389
137.0000,22.6047
137.2500,21.7349
137.5000,22.8489
137.7500,23.6730
138.0000,20.6819
138.2500,12.1894
138.5000,4.1928
138.7500,-1.0721
139.0000,-4.1165
139.2500,-2.9186
139.5000,5.5129
139.7500,11.8918
140.0000,15.9130
140.2500,18.6522
140.5000,20.0333
140.7500,20.5217
141.0000,20.9947
141.2500,22.4750
141.5000,21.8035
141.7500,13.0440
142.0000,4.2615
142.2500,-2.3311
142.5000,-6.4514
142.7500,-8.8549
143.0000,-10.8159
143.2500,-3.7503
143.5000,5.3832
143.7500,11.2737
144.0000,15.0050
144.2500,16.7294
144.5000,17.6221
144.7500,16.1724
145.0000,9.2365
145.2500,1.2857
145.5000,-5.3374
145.7500,-9.6866
146.0000,-9.1754
146.2500,0.3243
146.5000,7.6188
146.7500,12.5251
147.0000,15.1576
147.2500,16.8210
147.5000,18.4767
147.7500,19.2932
148.0000,17.3856
148.2500,11.0677
148.5000,3.4374
148.7500,-2.8881
149.0000,-7.3060
149.2500,-9.5951
149.5000,-10.1292
149.7500,-3.1856
150.0000,4.9711
150.2500,10.6252
150.5000,14.3488
150.7500,16.5768
151.0000,18.1181
151.2500,19.2398
151.5000,18.1715
151.7500,13.9215
152.0000,6.3293
152.2500,0.1869
152.5000,-4.8872
152.7500,-8.7786
153.0000,-10.8770
153.2500,-4.7575
153.5000,4.1242
153.7500,10.1139
154.0000,13.6391
154.2500,15.8367
154.5000,17.4543
154.7500,18.1563
155.0000,16.1724
155.2500,14.4251
155.5000,11.4492
155.7500,5.6044
156.0000,0.5227
156.2500,-3.3611
156.5000,-5.4595
156.7500,-5.7189
157.0000,1.0415
157.2500,9.2288
157.5000,14.6158
157.7500,17.9960
158.0000,19.8426
158.2500,20.5217
158.5000,18.2936
158.7500,14.0207
159.0000,8.8397
159.2500,3.8266
159.5000,-0.8966
159.7500,-5.0398
160.0000,-5.9936
160.2500,3.2162
160.5000,11.0677
160.7500,15.4323
161.0000,17.5535
161.2500,17.9960
161.5000,19.6747
161.7500,20.5140
162.0000,19.1101
162.2500,16.5158
162.5000,11.8460
162.7500,6.7032
163.0000,2.4455
163.2500,-1.1789
163.5000,-4.7499
163.7500,-5.2611
164.0000,3.5901
164.2500,11.2737
164.5000,15.8672
164.7500,18.1181
165.0000,19.0490
165.2500,20.2927
165.5000,21.4220
165.7500,20.8192
166.0000,13.2424
166.2500,5.8257
166.5000,-0.1030
166.7500,-4.1623
167.0000,-7.1915
167.2500,-1.5604
167.5000,7.2984
167.7500,13.0592
168.0000,16.2334
168.2500,17.9960
168.5000,19.4382
168.7500,20.0638
169.0000,18.3470
169.2500,15.0736
169.5000,10.8617
169.7500,7.5044
170.0000,3.9945
170.2500,0.5379
170.5000,-1.6672
170.7500,2.4455
171.0000,10.7854
171.2500,16.2792
171.5000,19.4610
171.7500,21.2389
172.0000,21.6586
172.2500,19.7586
172.5000,18.1257
172.7500,13.8070
173.0000,9.6103
173.2500,6.5353
173.5000,3.5519
173.7500,1.5833
174.0000,3.3993
174.2500,11.4798
174.5000,17.1643
174.7500,20.2012
175.0000,21.8264
175.2500,22.7115
175.5000,23.0168
175.7500,21.3228
176.0000,18.2326
176.2500,13.4102
176.5000,8.1911
176.7500,3.2696
177.0000,0.0572
177.2500,-1.6901
177.5000,0.3243
177.7500,9.0991
178.0000,15.4246
178.2500,18.9880
178.5000,20.7506
178.7500,21.9790
179.0000,22.6887
179.2500,22.3606
179.5000,20.1478
179.7500,16.2868
180.0000,9.7935
180.2500,3.8571
180.5000,-0.2785
180.7500,-3.3917
181.0000,-5.3145
181.2500,-2.3616
181.5000,7.0695
181.7500,13.9443
182.0000,17.7671
182.2500,19.8349
182.5000,21.2465
182.7500,21.7959
183.0000,20.0333
183.2500,15.5543
183.5000,9.3433
183.7500,4.3989
184.0000,0.5303
184.2500,-2.2319
184.5000,-3.2848
184.7500,4.1471
185.0000,12.5633
185.2500,17.4009
185.5000,19.9799
185.7500,21.0329
186.0000,19.7891
186.2500,17.5306
186.5000,19.4229
186.7500,17.2559
187.0000,11.4035
187.2500,5.3679
187.5000,0.2861
187.7500,-1.7969
188.0000,-1.0797
188.2500,7.7638
188.5000,14.7532
188.7500,18.6446
189.0000,20.3538
189.2500,21.4220
189.5000,21.2771
189.7500,18.8964
190.0000,13.8146
190.2500,9.4654
190.5000,6.7337
190.7500,3.3306
191.0000,-0.0420
191.2500,5.1543
191.5000,12.8608
191.7500,17.6221
192.0000,20.0028
192.2500,20.5751
192.5000,19.8044
192.7500,21.1321
193.0000,20.9261
193.2500,13.0211
193.5000,5.2916
193.7500,-0.0114
194.0000,-3.0941
194.2500,-4.7880
194.5000,-6.1080
194.7500,0.2480
195.0000,8.8549
195.2500,14.2419
195.5000,17.4543
195.7500,18.7667
196.0000,19.7128
196.2500,20.6361
196.5000,19.9494
196.7500,17.7442
197.0000,12.5480
197.2500,5.9020
197.5000,0.4311
197.7500,-4.1776
198.0000,-7.0237
198.2500,-6.6345
198.5000,3.1933
198.7500,10.8693
199.0000,15.2797
199.2500,17.3780
199.5000,18.7743
199.7500,19.7052
200.0000,18.7896
200.2500,13.0440
200.5000,5.7876
200.7500,1.7664
201.0000,-0.6142
201.2500,-2.9720
201.5000,-4.3836
201.7500,2.3997
202.0000,10.5031
202.2500,15.6688
202.5000,18.4767
202.7500,20.0791
203.0000,21.0405
203.2500,20.1096
203.5000,18.6141
203.7500,16.3784
204.0000,14.8905
204.2500,10.1826
204.5000,4.7041
204.7500,-0.5608
205.0000,-4.2920
205.2500,-6.5735
205.5000,-1.3773
205.7500,7.7791
206.0000,13.5934
206.2500,16.7752
206.5000,18.7514
206.7500,19.4153
207.0000,16.3784
207.2500,13.4331
207.5000,8.8778
207.7500,4.1852
208.0000,-0.2861
208.2500,-3.3917
208.5000,1.3849
208.7500,10.1368
209.0000,15.4170
209.2500,18.6065
209.5000,20.0791
209.7500,20.1249
210.0000,19.8120
210.2500,17.8205
210.5000,18.8354
210.7500,14.7532
211.0000,6.1386
211.2500,-0.8737
211.5000,-5.6960
211.7500,-8.7634
212.0000,-9.0228
212.2500,0.6524
212.5000,9.0152
212.7500,14.0512
213.0000,16.9278
213.2500,18.4615
213.5000,18.4004
213.7500,17.5611
214.0000,15.9816
214.2500,14.2190
214.5000,6.6116
214.7500,0.5456
215.0000,-4.0784
215.2500,-5.8028
215.5000,-6.0546
215.7500,-2.2547
216.0000,7.1305
216.2500,13.4484
216.5000,16.7828
216.7500,18.4386
217.0000,19.5145
217.2500,19.7968
217.5000,17.6069
217.7500,12.1589
218.0000,5.5358
218.2500,0.0267
218.5000,-4.2310
218.7500,-7.4968
219.0000,-7.3747
219.2500,2.3082
219.5000,10.4573
219.7500,15.0889
220.0000,17.0651
220.2500,18.1181
220.5000,19.3847
220.7500,19.8349
221.0000,17.0041
221.2500,12.1512
221.5000,8.0995
221.7500,2.9415
222.0000,-2.5142
222.2500,-6.3675
222.5000,-6.5735
222.7500,2.7278
223.0000,10.9914
223.2500,15.5314
223.5000,17.7671
223.7500,19.1329
224.0000,19.2856
224.2500,16.3174
224.5000,17.4924
224.7500,19.2550
225.0000,19.5602
225.2500,16.5692
225.5000,17.4161
225.7500,19.8731
226.0000,20.4377
226.2500,17.1949
226.5000,17.3703
226.7500,19.4153
227.0000,19.6594
227.2500,17.1567
227.5000,10.9914
227.7500,4.8185
228.0000,-0.0343
228.2500,-3.4832
228.5000,-5.9402
228.7500,1.1178
229.0000,9.5798
229.2500,15.2491
229.5000,18.4310
229.7500,19.8273
230.0000,18.5454
230.2500,19.3313
230.5000,20.6056
230.7500,19.8273
231.0000,11.7010
231.2500,3.3993
231.5000,-2.6134
231.7500,-6.5353
232.0000,-9.0839
232.2500,-5.0169
232.5000,5.0245
232.7500,11.6171
233.0000,15.4170
233.2500,17.2177
233.5000,18.4233
233.7500,19.3924
234.0000,18.1792
234.2500,11.1517
234.5000,4.2386
234.7500,-0.6448
235.0000,-4.4065
235.2500,-6.5735
235.5000,0.0954
235.7500,8.6871
236.0000,14.4098
236.2500,17.6985
236.5000,18.9117
236.7500,18.7438
237.0000,20.0104
237.2500,15.4323
237.5000,7.7104
237.7500,7.0695
238.0000,14.2801
238.2500,18.6751
238.5000,20.2699
238.7500,17.5687
239.0000,19.0032
239.2500,20.1859
