"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.720664710E-1,3.183749318E-2,-2.842487097E-1,-1.397638321E-1,3.183471120E-1
9.770664710E-1,4.120472074E-2,-3.322889805E-1,-1.043853760E-1,3.507279605E-1
9.820664710E-1,4.925316572E-2,-3.921798468E-1,-3.633880615E-2,3.969274687E-1
9.870664710E-1,4.219305515E-2,-4.614487886E-1,5.435657501E-2,4.665510430E-1
9.920664710E-1,2.805635333E-2,-5.276324749E-1,9.334659576E-2,5.365601313E-1
9.970664710E-1,-3.822773695E-3,-5.880092978E-1,1.811447144E-1,6.152909519E-1
1.002066471E0,-5.731639266E-2,-6.577159166E-1,2.393255234E-1,7.022478921E-1
1.007066471E0,-1.243533492E-1,-7.159015536E-1,2.874546051E-1,7.814147042E-1
1.012066471E0,-1.741306186E-1,-7.516161799E-1,3.183460236E-1,8.346211985E-1
1.017066471E0,-2.022410631E-1,-7.821370959E-1,3.538103104E-1,8.819419596E-1
1.022066471E0,-2.439777255E-1,-7.668089867E-1,3.466348648E-1,8.761717195E-1
1.027066471E0,-2.642216682E-1,-7.612183094E-1,3.471136093E-1,8.773564055E-1
1.032066471E0,-2.885494232E-1,-7.339223027E-1,3.272275925E-1,8.538036152E-1
1.037066471E0,-2.997832596E-1,-6.864522696E-1,2.753276825E-1,7.980551697E-1
1.042066471E0,-3.347370327E-1,-6.425836682E-1,2.345705032E-1,7.615681012E-1
1.047066471E0,-3.517556787E-1,-5.749509335E-1,2.190074921E-1,7.087065083E-1
1.052066471E0,-3.695405424E-1,-5.008195639E-1,1.925716400E-1,6.515092360E-1
1.057066471E0,-3.739755154E-1,-4.233821630E-1,1.543827057E-1,5.856143457E-1
1.062066471E0,-3.687156141E-1,-3.464930058E-1,1.364393234E-1,5.240460820E-1
1.067066471E0,-3.517699540E-1,-2.519582510E-1,1.487960815E-1,4.575645688E-1
1.072066471E0,-3.273202181E-1,-1.788898706E-1,1.717529297E-1,4.106570100E-1
1.077066471E0,-2.986855507E-1,-9.600651264E-2,1.885509491E-1,3.660352019E-1
1.082066471E0,-2.597888708E-1,-2.991545200E-2,2.468175888E-1,3.595888121E-1
1.087066471E0,-2.218621373E-1,8.020043373E-3,2.628355026E-1,3.440488781E-1
1.092066471E0,-1.631895006E-1,6.514263153E-2,2.954196930E-1,3.437254290E-1
1.097066471E0,-1.053127050E-1,1.101244688E-1,2.871322632E-1,3.250586117E-1
1.102066471E0,-4.996657372E-2,1.597709656E-1,2.593326569E-1,3.086694783E-1
1.107066471E0,-1.806646585E-3,1.799302101E-1,2.123241425E-1,2.783158026E-1
1.112066471E0,4.009756446E-2,2.155402899E-1,1.427841187E-1,2.616347373E-1
1.117066471E0,5.168479681E-2,2.568691969E-1,4.808521271E-2,2.663931122E-1
1.122066471E0,7.880273461E-2,2.878088951E-1,-9.201526642E-2,3.122669376E-1
1.127066471E0,6.775069237E-2,2.968084812E-1,-1.932725906E-1,3.606102122E-1
1.132066471E0,4.123377800E-2,3.436948061E-1,-2.884845734E-1,4.506103564E-1
1.137066471E0,2.426397800E-2,3.615320921E-1,-3.625802994E-1,5.125999100E-1
1.142066471E0,-8.130013943E-3,3.756197691E-1,-3.896064758E-1,5.412481077E-1
1.147066471E0,-3.420341015E-2,3.979688883E-1,-3.893041611E-1,5.577695215E-1
1.152066471E0,-5.018863082E-2,3.913527727E-1,-3.542156219E-1,5.302307028E-1
1.157066471E0,-4.427862167E-2,4.005903006E-1,-3.211250305E-1,5.153197750E-1
1.162066471E0,-2.545061707E-2,4.041106701E-1,-2.751903534E-1,4.895742009E-1
1.167066471E0,1.510024071E-3,4.144803286E-1,-2.315778732E-1,4.747889366E-1
1.172066471E0,3.783717752E-2,4.003651142E-1,-1.910791397E-1,4.452360209E-1
1.177066471E0,8.125545084E-2,4.248316288E-1,-1.655750275E-1,4.631408542E-1
1.182066471E0,1.099358350E-1,4.494251013E-1,-1.518087387E-1,4.869442500E-1
1.187066471E0,1.693280637E-1,4.540721178E-1,-1.367664337E-1,5.035459649E-1
1.192066471E0,2.335307598E-1,4.883773327E-1,-1.390848160E-1,5.589218379E-1
1.197066471E0,2.867550552E-1,5.242786407E-1,-1.502437592E-1,6.161734674E-1
1.202066471E0,3.281775117E-1,5.533890724E-1,-1.504964828E-1,6.607489205E-1
1.207066471E0,3.590849936E-1,5.739983320E-1,-1.396055222E-1,6.913073265E-1
1.212066471E0,3.947548866E-1,6.132996082E-1,-1.487436295E-1,7.443738962E-1
1.217066471E0,4.039828479E-1,6.306127310E-1,-1.294374466E-1,7.600188224E-1
1.222066471E0,3.958832026E-1,6.650104523E-1,-1.436843872E-1,7.871515831E-1
1.227066471E0,3.911200464E-1,6.948326826E-1,-1.326389313E-1,8.083071406E-1
1.232066471E0,3.734544814E-1,7.054431438E-1,-1.486139297E-1,8.119140219E-1
1.237066471E0,3.491714299E-1,7.149099112E-1,-1.717357635E-1,8.139471979E-1
