"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.551181250E-1,2.201396823E-1,9.293723106E0,-3.565305710E0,9.956563436E0
3.572078120E-1,2.536391914E-1,9.322437286E0,-3.541377544E0,9.975646581E0
3.592975520E-1,2.967100143E-1,9.336793900E0,-3.546163082E0,9.991948246E0
3.613872390E-1,3.349951804E-1,9.355937004E0,-3.536591768E0,1.000766008E1
3.634769270E-1,3.876372576E-1,9.355937004E0,-3.531806231E0,1.000787066E1
3.655666660E-1,4.163511395E-1,9.370293617E0,-3.531806231E0,1.002244511E1
3.676563020E-1,4.498506486E-1,9.375079155E0,-3.560520172E0,1.003851476E1
3.697460410E-1,4.833501875E-1,9.379864693E0,-3.589233875E0,1.005475454E1
3.718357290E-1,5.072783828E-1,9.384650230E0,-3.617947817E0,1.007067712E1
3.739254160E-1,5.168496966E-1,9.403793335E0,-3.651447296E0,1.010106579E1
3.760151040E-1,5.024927258E-1,9.403793335E0,-3.665804386E0,1.010554055E1
3.781047910E-1,5.072783828E-1,9.418149948E0,-3.699303865E0,1.013132414E1
3.801945310E-1,5.024927258E-1,9.403793335E0,-3.723232031E0,1.012651395E1
3.822842190E-1,5.072783828E-1,9.408578873E0,-3.751945972E0,1.014178418E1
3.843739060E-1,5.312066078E-1,9.389435768E0,-3.761517286E0,1.012880530E1
3.864636460E-1,5.168496966E-1,9.365508080E0,-3.785445452E0,1.011481450E1
3.885533330E-1,5.024927258E-1,9.341579437E0,-3.818944931E0,1.010455074E1
3.906430210E-1,4.737788737E-1,9.332008362E0,-3.828516245E0,1.009793955E1
3.927327080E-1,4.211367965E-1,9.322437286E0,-3.828516245E0,1.008676012E1
3.948223960E-1,3.589234054E-1,9.322437286E0,-3.852444410E0,1.009346278E1
3.969121350E-1,3.302095234E-1,9.336793900E0,-3.871587038E0,1.011305814E1
3.990017710E-1,2.871387303E-1,9.336793900E0,-3.881158352E0,1.011541196E1
4.010915100E-1,2.727817893E-1,9.341579437E0,-3.890729666E0,1.012310692E1
4.031811980E-1,2.632105052E-1,9.370293617E0,-3.885943890E0,1.014752394E1
4.052709370E-1,2.632105052E-1,9.399007797E0,-3.900300980E0,1.017953708E1
4.073605730E-1,2.584248483E-1,9.394221306E0,-3.890729666E0,1.017133003E1
4.094503120E-1,2.632105052E-1,9.413364410E0,-3.881158352E0,1.018548474E1
4.115400000E-1,2.584248483E-1,9.403793335E0,-3.881158352E0,1.017651722E1
