time_s,acc_x,acc_y,acc_z
560.65625,-35.34286,-838.74286,-535.62857
560.66406,-35.34286,-838.74286,-535.62857
560.67188,-35.34286,-838.74286,-535.62857
560.67969,-35.34286,-838.74286,-535.62857
560.68750,-38.28571,-841.68571,-535.62857
560.69531,-38.28571,-841.68571,-535.62857
560.70312,-38.28571,-841.68571,-532.68571
560.71094,-38.28571,-838.74286,-532.68571
560.71875,-38.28571,-838.74286,-532.68571
560.72656,-38.28571,-838.74286,-535.62857
560.73438,-38.28571,-838.74286,-535.62857
560.74219,-38.28571,-838.74286,-535.62857
560.75000,-38.28571,-838.74286,-535.62857
560.75781,-38.28571,-838.74286,-535.62857
560.76562,-38.28571,-838.74286,-535.62857
560.77344,-38.28571,-838.74286,-535.62857
560.78125,-38.28571,-838.74286,-535.62857
560.78906,-38.28571,-841.68571,-532.68571
560.79688,-35.34286,-841.68571,-532.68571
560.80469,-35.34286,-841.68571,-535.62857
560.81250,-38.28571,-841.68571,-532.68571
560.82031,-38.28571,-841.68571,-532.68571
560.82812,-38.28571,-838.74286,-532.68571
560.83594,-38.28571,-838.74286,-535.62857
560.84375,-38.28571,-838.74286,-535.62857
560.85156,-38.28571,-838.74286,-535.62857
560.85938,-38.28571,-838.74286,-535.62857
560.86719,-38.28571,-838.74286,-535.62857
560.87500,-38.28571,-838.74286,-532.68571
560.88281,-38.28571,-838.74286,-532.68571
560.89062,-38.28571,-838.74286,-532.68571
560.89844,-38.28571,-838.74286,-532.68571
560.90625,-38.28571,-838.74286,-532.68571
560.91406,-38.28571,-838.74286,-535.62857
560.92188,-38.28571,-838.74286,-532.68571
560.92969,-38.28571,-838.74286,-532.68571
560.93750,-38.28571,-838.74286,-535.62857
560.94531,-38.28571,-838.74286,-535.62857
560.95312,-38.28571,-838.74286,-535.62857
560.96094,-38.28571,-838.74286,-532.68571
560.96875,-38.28571,-838.74286,-532.68571
560.97656,-38.28571,-838.74286,-535.62857
560.98438,-38.28571,-838.74286,-532.68571
560.99219,-38.28571,-838.74286,-535.62857
561.00000,-38.28571,-838.74286,-535.62857
561.00781,-38.28571,-838.74286,-535.62857
561.01562,-38.28571,-838.74286,-535.62857
561.02344,-38.28571,-838.74286,-535.62857
561.03125,-38.28571,-838.74286,-535.62857
561.03906,-38.28571,-838.74286,-535.62857
561.04688,-38.28571,-838.74286,-532.68571
561.05469,-38.28571,-841.68571,-532.68571
561.06250,-38.28571,-841.68571,-532.68571
561.07031,-38.28571,-841.68571,-532.68571
561.07812,-38.28571,-841.68571,-532.68571
561.08594,-38.28571,-841.68571,-532.68571
561.09375,-35.34286,-838.74286,-532.68571
561.10156,-38.28571,-838.74286,-535.62857
561.10938,-38.28571,-835.80000,-535.62857
561.11719,-38.28571,-835.80000,-535.62857
561.12500,-38.28571,-838.74286,-535.62857
561.13281,-38.28571,-841.68571,-535.62857
561.14062,-38.28571,-841.68571,-532.68571
561.14844,-38.28571,-844.62857,-532.68571
561.15625,-35.34286,-844.62857,-532.68571
561.16406,-35.34286,-841.68571,-532.68571
561.17188,-35.34286,-841.68571,-532.68571
561.17969,-35.34286,-838.74286,-535.62857
561.18750,-38.28571,-838.74286,-535.62857
561.19531,-38.28571,-835.80000,-538.57143
561.20312,-41.22857,-835.80000,-538.57143
561.21094,-44.17143,-835.80000,-538.57143
561.21875,-44.17143,-835.80000,-535.62857
561.22656,-41.22857,-838.74286,-532.68571
561.23438,-41.22857,-841.68571,-532.68571
561.24219,-41.22857,-844.62857,-529.74286
561.25000,-38.28571,-844.62857,-529.74286
561.25781,-35.34286,-844.62857,-532.68571
561.26562,-35.34286,-841.68571,-535.62857
561.27344,-32.40000,-841.68571,-535.62857
561.28125,-32.40000,-838.74286,-538.57143
561.28906,-32.40000,-838.74286,-538.57143
561.29688,-32.40000,-835.80000,-538.57143
561.30469,-35.34286,-835.80000,-538.57143
561.31250,-35.34286,-835.80000,-535.62857
561.32031,-38.28571,-838.74286,-535.62857
561.32812,-38.28571,-838.74286,-532.68571
561.33594,-38.28571,-841.68571,-532.68571
561.34375,-38.28571,-841.68571,-532.68571
561.35156,-38.28571,-841.68571,-532.68571
561.35938,-38.28571,-841.68571,-532.68571
561.36719,-38.28571,-841.68571,-535.62857
561.37500,-38.28571,-838.74286,-535.62857
561.38281,-38.28571,-838.74286,-535.62857
561.39062,-38.28571,-835.80000,-535.62857
561.39844,-38.28571,-838.74286,-535.62857
561.40625,-38.28571,-838.74286,-532.68571
561.41406,-38.28571,-838.74286,-535.62857
561.42188,-35.34286,-841.68571,-535.62857
561.42969,-35.34286,-841.68571,-535.62857
561.43750,-35.34286,-838.74286,-535.62857
561.44531,-35.34286,-838.74286,-535.62857
561.45312,-38.28571,-841.68571,-535.62857
561.46094,-38.28571,-841.68571,-535.62857
561.46875,-38.28571,-841.68571,-535.62857
561.47656,-38.28571,-838.74286,-535.62857
561.48438,-38.28571,-838.74286,-532.68571
561.49219,-38.28571,-838.74286,-535.62857
561.50000,-38.28571,-838.74286,-535.62857
561.50781,-38.28571,-838.74286,-535.62857
561.51562,-38.28571,-838.74286,-535.62857
561.52344,-38.28571,-838.74286,-535.62857
561.53125,-38.28571,-838.74286,-535.62857
561.53906,-38.28571,-838.74286,-535.62857
561.54688,-38.28571,-841.68571,-535.62857
561.55469,-38.28571,-841.68571,-532.68571
561.56250,-35.34286,-841.68571,-532.68571
561.57031,-35.34286,-841.68571,-532.68571
561.57812,-35.34286,-841.68571,-532.68571
561.58594,-35.34286,-841.68571,-535.62857
561.59375,-38.28571,-838.74286,-532.68571
561.60156,-38.28571,-838.74286,-535.62857
561.60938,-38.28571,-838.74286,-535.62857
561.61719,-38.28571,-838.74286,-535.62857
561.62500,-38.28571,-838.74286,-535.62857
561.63281,-38.28571,-838.74286,-535.62857
561.64062,-38.28571,-838.74286,-535.62857
561.64844,-38.28571,-838.74286,-535.62857
561.65625,-38.28571,-838.74286,-535.62857
561.66406,-38.28571,-838.74286,-532.68571
561.67188,-38.28571,-838.74286,-532.68571
561.67969,-38.28571,-838.74286,-535.62857
561.68750,-38.28571,-838.74286,-535.62857
561.69531,-38.28571,-838.74286,-535.62857
561.70312,-38.28571,-838.74286,-535.62857
561.71094,-38.28571,-838.74286,-535.62857
561.71875,-38.28571,-838.74286,-535.62857
561.72656,-38.28571,-838.74286,-535.62857
561.73438,-38.28571,-838.74286,-535.62857
561.74219,-38.28571,-838.74286,-535.62857
561.75000,-38.28571,-838.74286,-532.68571
561.75781,-38.28571,-841.68571,-535.62857
561.76562,-38.28571,-841.68571,-535.62857
561.77344,-38.28571,-838.74286,-532.68571
561.78125,-38.28571,-838.74286,-535.62857
561.78906,-38.28571,-838.74286,-535.62857
561.79688,-38.28571,-838.74286,-535.62857
561.80469,-38.28571,-838.74286,-535.62857
561.81250,-38.28571,-838.74286,-535.62857
561.82031,-38.28571,-838.74286,-535.62857
561.82812,-38.28571,-838.74286,-532.68571
561.83594,-38.28571,-838.74286,-532.68571
561.84375,-38.28571,-841.68571,-535.62857
561.85156,-38.28571,-841.68571,-532.68571
561.85938,-38.28571,-841.68571,-532.68571
561.86719,-38.28571,-841.68571,-535.62857
561.87500,-38.28571,-838.74286,-535.62857
561.88281,-38.28571,-838.74286,-535.62857
561.89062,-38.28571,-838.74286,-535.62857
561.89844,-38.28571,-835.80000,-538.57143
561.90625,-38.28571,-835.80000,-535.62857
561.91406,-38.28571,-838.74286,-535.62857
561.92188,-38.28571,-841.68571,-532.68571
561.92969,-38.28571,-844.62857,-532.68571
561.93750,-38.28571,-844.62857,-532.68571
561.94531,-35.34286,-841.68571,-532.68571
561.95312,-35.34286,-841.68571,-532.68571
561.96094,-35.34286,-841.68571,-532.68571
561.96875,-35.34286,-838.74286,-535.62857
561.97656,-38.28571,-835.80000,-538.57143
561.98438,-41.22857,-835.80000,-538.57143
561.99219,-41.22857,-835.80000,-538.57143
562.00000,-44.17143,-835.80000,-538.57143
562.00781,-44.17143,-835.80000,-535.62857
562.01562,-41.22857,-838.74286,-532.68571
562.02344,-41.22857,-841.68571,-532.68571
562.03125,-38.28571,-844.62857,-529.74286
562.03906,-38.28571,-844.62857,-529.74286
562.04688,-35.34286,-844.62857,-529.74286
562.05469,-35.34286,-841.68571,-532.68571
562.06250,-32.40000,-841.68571,-535.62857
562.07031,-32.40000,-838.74286,-538.57143
562.07812,-32.40000,-835.80000,-538.57143
562.08594,-35.34286,-835.80000,-538.57143
562.09375,-35.34286,-835.80000,-538.57143
562.10156,-35.34286,-835.80000,-535.62857
562.10938,-38.28571,-838.74286,-532.68571
562.11719,-38.28571,-841.68571,-532.68571
562.12500,-38.28571,-841.68571,-532.68571
562.13281,-41.22857,-841.68571,-532.68571
562.14062,-41.22857,-841.68571,-532.68571
562.14844,-41.22857,-841.68571,-532.68571
562.15625,-38.28571,-841.68571,-535.62857
562.16406,-38.28571,-838.74286,-535.62857
562.17188,-38.28571,-838.74286,-535.62857
562.17969,-38.28571,-838.74286,-535.62857
562.18750,-38.28571,-838.74286,-535.62857
562.19531,-35.34286,-838.74286,-535.62857
562.20312,-35.34286,-841.68571,-535.62857
562.21094,-35.34286,-841.68571,-535.62857
562.21875,-35.34286,-838.74286,-535.62857
562.22656,-35.34286,-838.74286,-535.62857
562.23438,-35.34286,-838.74286,-535.62857
562.24219,-38.28571,-838.74286,-535.62857
562.25000,-38.28571,-838.74286,-535.62857
562.25781,-38.28571,-838.74286,-535.62857
562.26562,-38.28571,-838.74286,-532.68571
562.27344,-38.28571,-838.74286,-532.68571
562.28125,-38.28571,-838.74286,-532.68571
562.28906,-38.28571,-838.74286,-535.62857
562.29688,-38.28571,-838.74286,-538.57143
562.30469,-38.28571,-838.74286,-538.57143
562.31250,-38.28571,-838.74286,-535.62857
562.32031,-38.28571,-838.74286,-535.62857
562.32812,-38.28571,-838.74286,-535.62857
562.33594,-38.28571,-838.74286,-535.62857
562.34375,-35.34286,-841.68571,-532.68571
562.35156,-35.34286,-841.68571,-532.68571
562.35938,-35.34286,-841.68571,-532.68571
562.36719,-35.34286,-841.68571,-532.68571
562.37500,-38.28571,-838.74286,-535.62857
562.38281,-38.28571,-838.74286,-535.62857
562.39062,-38.28571,-838.74286,-535.62857
562.39844,-38.28571,-838.74286,-535.62857
562.40625,-38.28571,-838.74286,-535.62857
562.41406,-38.28571,-838.74286,-535.62857
562.42188,-38.28571,-838.74286,-535.62857
562.42969,-38.28571,-838.74286,-535.62857
562.43750,-38.28571,-838.74286,-535.62857
562.44531,-38.28571,-838.74286,-535.62857
562.45312,-38.28571,-838.74286,-535.62857
562.46094,-38.28571,-838.74286,-535.62857
562.46875,-38.28571,-838.74286,-535.62857
562.47656,-38.28571,-838.74286,-535.62857
562.48438,-38.28571,-838.74286,-535.62857
562.49219,-38.28571,-838.74286,-538.57143
562.50000,-38.28571,-838.74286,-538.57143
562.50781,-38.28571,-838.74286,-535.62857
562.51562,-38.28571,-838.74286,-535.62857
562.52344,-38.28571,-838.74286,-535.62857
562.53125,-38.28571,-838.74286,-535.62857
562.53906,-38.28571,-838.74286,-535.62857
562.54688,-38.28571,-838.74286,-535.62857
562.55469,-38.28571,-838.74286,-535.62857
562.56250,-38.28571,-838.74286,-535.62857
562.57031,-38.28571,-838.74286,-535.62857
562.57812,-38.28571,-838.74286,-535.62857
562.58594,-38.28571,-838.74286,-538.57143
562.59375,-38.28571,-838.74286,-535.62857
562.60156,-38.28571,-838.74286,-535.62857
562.60938,-38.28571,-838.74286,-535.62857
562.61719,-38.28571,-838.74286,-535.62857
562.62500,-38.28571,-838.74286,-535.62857
